date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:10	59933/59933	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:10%20GMT	https://themes.getmotopress.com/villagio/accommodation-facility/flachbildfernseher/?lang=de	themes.getmotopress.com/villagio/accommodation-facility/flachbildfernseher/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:11	547/547	---M--	200	added ('OK')	image/png	etag:%2218038c-223-561266bf92989%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.png	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.png	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:12	44164/44164	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:12%20GMT	https://themes.getmotopress.com/villagio/accommodation-facility/haustierfreundlich/?lang=de	themes.getmotopress.com/villagio/accommodation-facility/haustierfreundlich/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:12	59862/59862	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:12%20GMT	https://themes.getmotopress.com/villagio/accommodation-facility/gratis-wifi/?lang=de	themes.getmotopress.com/villagio/accommodation-facility/gratis-wifi/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:14	3014/3014	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221803aa-bc6-561266bf95869%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/visa.svg	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/visa.svg	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:14	59883/59883	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:14%20GMT	https://themes.getmotopress.com/villagio/accommodation-facility/klimaanlage/?lang=de	themes.getmotopress.com/villagio/accommodation-facility/klimaanlage/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:15	50974/50974	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:14%20GMT	https://themes.getmotopress.com/villagio/accommodation-facility/terrasse/?lang=de	themes.getmotopress.com/villagio/accommodation-facility/terrasse/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:16	12391/12391	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221803b1-3067-561266bf96039%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/mastercard.svg	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/mastercard.svg	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:16	40510/40510	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:15%20GMT	https://themes.getmotopress.com/villagio/accommodation-facility/kamin/?lang=de	themes.getmotopress.com/villagio/accommodation-facility/kamin/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:16	94513/94513	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:16%20GMT	https://themes.getmotopress.com/villagio/accommodation/alpen-berge-winter-haeuschen-monte-bianco-in-aostatal/?lang=de	themes.getmotopress.com/villagio/accommodation/alpen-berge-winter-haeuschen-monte-bianco-in-aostatal/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
